crop_name,NUTS2,ncu,country,crop_code,crop,texture,area_ncu,yield_ref,yield_target,soc_ref,soc_target,n_sp_ref,n_sp_sw_crit,n_sp_gw_crit,density,cn,clay,ph,n_fert,n_man,n_fix,n_dep,n_covercrop,nh3_man,nh3_fert,n_leach_frac,cov_soil,cov_clim,cov_crop,cov_fert,cov_soc,NUTS1,ncu_areacountry,ncu_areacountrycf,ar_ag_total,ar_arable,ar_perm_grass,ar_perm_crops,area_int_nuts,area_ncu_ha,parea.cr,sum_cov,parea.cc,parea.cres,area_no_till,parea.rtct,parea.ntct,n_man_nuts,neff,n_man_ncu,c_man_ncu,parea.nifnof,parea.mifnof,parea.hifnof,parea.mifhof,parea.hifhof,fert_type
Barly,BE21,1933,BE,BARL,3,2,1.16274,8089.29683993033,7814,1.29595,1.25,136.6674,28.227,72.044,1435,16.15,21.841,6.6,165.833,85,2,16.6724,17,0.1213,0.0222,0.5625,medium,temperate,cereals,fhigh,cmedium,BE2,114.3897,0.2,95630,65540,29440,650,66711.879,116.274,64.6476289606897,116.274,15.7482116353642,56.7787833256986,20.6839532753092,83.1264113605131,91.5775373339441,9449.4782,216.833,64.8730242644375,473.897442251716,0,0,0,0,116.274,hifhof
Barly,BE21,1952,BE,BARL,3,1,0.24055,8089.29683993033,7814,1.3164,1,133.3512,57.755,55.388,1467.1,17.49,5.0674,6.1,160.9039,85,2,18.2853,17,0.1236,0.0222,0.75,coarse,temperate,cereals,fhigh,cmedium,BE2,11.6104,0.5,95630,65540,29440,650,66711.879,24.055,13.3744320712231,24.055,3.25802183539472,11.7465093907467,4.27913803634143,17.1973599022752,18.9457459154069,9449.4782,211.9039,63.3983150462749,463.124691413038,0,0,0,0,24.055,hifhof
Barly,BE22,1856,BE,BARL,3,2,0.242166666666667,8089.29683993033,7814,1.34095,1,136.3381,42.758,79.075,1455.4,17.79,14.5798,6.3,165.0695,85,2,17.1066,17,0.132,0.0222,0.5625,coarse,temperate,cereals,fhigh,cmedium,BE2,29.4824,0.333333333333333,85950,57450,18710,9790,86866.9566666667,24.2166666666667,14.556125391936,24.2166666666667,2.3276336409542,11.7604533054733,2.95122247255356,21.4301187386079,24.4681418721189,12342.2558,216.0695,46.4536241688026,339.343724553103,0,0,0,0,24.2166666666667,hifhof
Barly,BE22,1859,BE,BARL,3,3,1.453,8089.29683993033,7814,1.32815,1.25,135.6485,26.286,123.89,1441,17.51,21.387,6.9,165.5273,85,2,15.9592,17,0.1283,0.0222,0.375,medium,temperate,cereals,fhigh,cmedium,BE2,109.9244,0.333333333333333,85950,57450,18710,9790,86866.9566666667,145.3,87.3367523516161,145.3,13.9658018457252,70.56271983284,17.7073348353214,128.580712431647,146.808851232714,12342.2558,216.5273,46.5520483755716,340.062713383551,0,0,0,0,145.3,hifhof
Barly,BE22,1860,BE,BARL,3,2,1.282,8089.29683993033,7814,1.3384,1.25,136.3984,24.304,79.268,1443.9,17.62,21.3301,6.3,165.1298,85,2,17.1066,17,0.135,0.0222,0.5625,medium,temperate,cereals,fhigh,cmedium,BE2,78.2516,0.5,85950,57450,18710,9790,86866.9566666667,128.2,77.0583045524927,128.2,12.3222009402751,62.2583667072959,15.6234021052182,113.448364306519,129.531278238361,12342.2558,216.1298,46.4665883008869,339.438427537978,0,0,0,0,128.2,hifhof
Barly,BE22,1862,BE,BARL,3,2,0.08545,8089.29683993033,7814,1.3334,1.25,135.7278,16.97,79.252,1442.8,17.77,21.5598,6.5,164.4592,85,2,17.1066,17,0.1372,0.0222,0.5625,medium,temperate,cereals,fhigh,cmedium,BE2,4.6186,0.5,85950,57450,18710,9790,86866.9566666667,8.545,5.13621850546841,8.545,0.821319867664983,4.14974838934355,1.04135702799602,7.56174939936977,8.63373457524802,12342.2558,215.4592,46.3224133925005,338.385229832216,0,0,0,0,8.545,hifhof
Barly,BE22,1863,BE,BARL,3,2,0.0427,8089.29683993033,7814,1.3339,1.25,136.2887,16.008,79.161,1443.2,17.84,21.5638,7,165.0201,85,2,17.1066,17,0.1285,0.0222,0.5625,medium,temperate,cereals,fhigh,cmedium,BE2,1.0745,1,85950,57450,18710,9790,86866.9566666667,4.27,2.56660655568755,4.27,0.410419641302455,2.07366010795751,0.520373845470216,3.77866236808764,4.31434132665992,12342.2558,216.0201,46.4430034702129,339.266140349905,0,0,0,0,4.27,hifhof
Barly,BE22,1866,BE,BARL,3,1,0.06405,8089.29683993033,7814,1.38525,1,133.6284,152.609,61.207,1473,24.1,5.1124,6.2,162.3598,85,2,17.1066,17,0.0918,0.0222,0.75,coarse,temperate,cereals,fhigh,cmedium,BE2,16.6816,0.5,85950,57450,18710,9790,86866.9566666667,6.405,3.84990983353132,6.405,0.615629461953684,3.11049016193627,0.780560768205323,5.66799355213146,6.47151198998988,12342.2558,213.3598,45.8710552018258,335.088058249337,0,0,0,0,6.405,hifhof
Barly,BE22,1867,BE,BARL,3,1,0.0209,8089.29683993033,7814,1.3829,1,130.9266,12.213,57.84,1482.1,17.42,3.9543,6.2,151.3677,85,2,25.3969,17,0.1591,0.0222,0.75,coarse,temperate,cereals,fhigh,cmedium,BE2,1.0746,1,85950,57450,18710,9790,86866.9566666667,2.09,1.25625473100398,2.09,0.20088455511057,1.01497649312206,0.254702889234836,1.84950921529348,2.1117033659764,12342.2558,202.3677,43.5078207692663,317.824630719491,0,0,0,0,2.09,hifhof
Barly,BE22,1868,BE,BARL,3,2,0.292,8089.29683993033,7814,1.3723,1.25,135.8817,30.006,71.79,1454.1,17.58,19.9691,6.6,159.0969,85,2,22.6228,17,0.1274,0.0222,0.5625,medium,temperate,cereals,fhigh,cmedium,BE2,15.6848,1,85950,57450,18710,9790,86866.9566666667,29.2,17.5515015049359,29.2,2.80661675082709,14.1805328225666,3.55852840462068,25.840033055775,29.5032240605316,12342.2558,210.0969,45.1695516101556,329.963574512186,0,0,0,0,29.2,hifhof
Barly,BE22,1870,BE,BARL,3,1,0.9386,8089.29683993033,7814,1.9736,1,134.5818,53.87,60.715,1478.7001,15.05,3.9643,6.1,160.538,85,2,19.8818,17,0.1203,0.0222,0.75,coarse,temperate,cereals,fhigh,cmedium,BE2,94.4971,1,85950,57450,18710,9790,86866.9566666667,93.86,56.4172579196331,93.86,9.02154274769283,45.5816716002089,11.4384752074554,83.0597774868165,94.8346784356676,12342.2558,211.538,45.4793793173963,332.22686591358,0,0,0,0,93.86,hifhof
Barly,BE22,1872,BE,BARL,3,1,1.2305,8089.29683993033,7814,1.4954,1,133.8056,37.533,58.872,1478.1,17.66,4.8628,6.1,157.5172,85,2,22.1264,17,0.1193,0.0222,0.75,coarse,temperate,cereals,fhigh,cmedium,BE2,94.1602,1,85950,57450,18710,9790,86866.9566666667,123.05,73.9627486363824,123.05,11.8271983283998,59.7573480759185,14.9957849379649,108.890961216202,124.327798652343,12342.2558,208.5172,44.8299257485719,327.482607593317,0,0,0,0,123.05,hifhof
